orbital_period,transit_duration,transit_depth,planet_radius,planet_radiuJ,pl_masse,pl_massj,insolation,equilibrium_temp,pl_orbeccen,inclination,stellar_temp,stellar_radius,stellar_mass,st_met,stellar_logg,discoverymethod,disposition
1.9611469,1.33,0.727,5.93,0.52903916,12.2,0.0383853,78,809,0.075,88.6971,4166,0.64,0.88,-0.01,4.4905,Transit,CANDIDATE
1.961336911,1.632367,0.92350385,15.86577929,1.41545246,12.2,0.0383853,533.383,1225.69,0.075,88.6971,4427,1.06738,0.88,-0.01,4.22028,Transit,CANDIDATE
40.7302,2.6496,0.1357,7.8,0.7,12.2,0.0383853,78,809,0.075,88.6971,5840,0.98,0.88,-0.01,4.44,Transit,CANDIDATE
40.7362,2.7888,0.1357,7.28,0.649,12.2,0.0383853,78,529,0.075,88.6971,5618,0.85,0.88,-0.26,4.4905,Transit,CANDIDATE
18.10220826,4.521,0.78,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,6141.1,2.04778,1.164,-0.0886,3.88145,Transit,CANDIDATE
0.60408352,0.97,0.0963,2.26,0.2016237,12.2,0.0383853,78,809,0.075,88.6971,4331,0.67,0.88,-0.01,4.4905,Transit,CANDIDATE
3.52743,1.3296,0.1357,1.11,0.099,12.2,0.0383853,78,809,0.075,88.6971,3624,0.257,0.88,-0.01,5.014,Transit,CANDIDATE
3.52725,1.68,0.199,1.21,0.108,12.2,0.0383853,78,809,0.075,88.6971,5293,0.257,0.88,-0.01,4.4905,Transit,CANDIDATE
3.52674,2.7888,0.1357,1.32,0.118,12.2,0.0383853,78,809,0.075,88.32,3413,0.350987,0.335348,-0.01,4.87298,Transit,CANDIDATE
3.5269024,1.57,0.167,2.98,0.26585779,12.2,0.0383853,78,809,0.075,88.6971,4332,0.67,0.88,-0.01,4.4905,Transit,CANDIDATE
6340,2.7888,0.1357,12.8,1.14,12.2,0.0383853,78,809,0.075,88.6971,4800,0.88,0.88,-0.01,4.4905,Transit,CANDIDATE
9.321691,3.6,0.1357,17.325,1.54563563,12.2,0.0383853,78,809,0.075,88.6971,5089,0.678,0.787,-0.255,4.712,Transit,CANDIDATE
6.662,3.072,0.0946,1.59,0.142,12.2,0.0383853,78,809,0.075,88.6971,5293,0.483,0.88,-0.01,4.4905,Transit,CANDIDATE
2.71578,2.7888,0.1357,1.03,0.09189045,12.2,0.0383853,78,809,0.075,88.6971,5293,0.8640925,0.67,-0.01,4.4905,Transit,CONFIRMED
2.0478,2.7888,0.1357,0.90819,0.08102328,12.2,0.0383853,78,809,0,89.2757,4520,0.655,0.727,-0.003,4.659,Transit,CONFIRMED
6.738783,4.8072,1.3972,35,3.1,12.2,0.0383853,78,809,0.075,88.6971,5293,1.266,0.88,-0.01,4.4905,Transit,CANDIDATE
27.27048734,6.748,3.413,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,5990.87,2.564,1.1,-0.5519,3.66162,Transit,FALSE POSITIVE
27.242808,6.5664,3.7137,93,8.3,12.2,0.0383853,78,809,0.075,88.6971,5293,2.54,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
27.24273,2.7888,0.1357,31.73,2.831,12.2,0.0383853,78,707,0.075,88.6971,6166,0.92,0.88,-0.54,4.4905,Transit,FALSE POSITIVE
27.242912,6.56,3.7,18.8,1.67722366,12.2,0.0383853,78,809,0.075,88.6971,5547,0.9,0.88,-0.01,4.4905,Transit,FALSE POSITIVE
1.395336,1.2312,0.0665,0.76,0.068,12.2,0.0383853,78,809,0.075,88.6971,5293,0.28,0.88,-0.01,4.4905,Transit,CANDIDATE
1.39533316,1.18,0.054,2.6,0.23142158,12.2,0.0383853,78,809,0.075,88.6971,3433,0.424658,0.419014,-0.01,4.80422,Transit,CANDIDATE
1.3951513,1.15,0.0616,0.879,0.07841913,12.2,0.0383853,78,809,0.075,88.6971,3390,0.32,0.88,-0.01,4.4905,Transit,CANDIDATE
15.3791,2.28,0.256,1.89,0.169,12.2,0.0383853,78,809,0.075,88.6971,5293,0.336,0.88,-0.01,4.4905,Transit,CANDIDATE
33.5107,5.2896,0.1357,2.14,0.191,12.2,0.0383853,78,809,0.075,88.6971,5683,0.896,0.88,-0.01,4.5,Transit,CANDIDATE
33.51569,2.7888,0.1357,3.83,0.342,12.2,0.0383853,78,613,0.075,88.6971,5552,0.71,0.88,-0.69,4.4905,Transit,CANDIDATE
33.5116,5.352,0.0732,2.89,0.258,12.2,0.0383853,78,809,0.075,88.6971,5293,0.875,0.88,-0.01,4.4905,Transit,CANDIDATE
33.513607,2.7888,0.1357,2.47313225,0.22,12.2,0.0383853,78,809,0.075,89.2738,5628,0.857642,0.88,-0.18,4.57,Transit,CANDIDATE
33.515399,4.81,0.0822,2.03,0.18110447,12.2,0.0383853,78,809,0.075,88.6971,4222,0.65,0.88,-0.01,4.4905,Transit,CANDIDATE
3.96151,2.7888,0.1357,1,0.08921402,12.2,0.0383853,78,809,0.075,88.6971,5293,0.8640925,0.611,-0.01,4.4905,Transit,CONFIRMED
3.96165,2.16,0.0485,1.48,0.132,12.2,0.0383853,78,809,0.075,88.6971,5293,0.634,0.88,-0.01,4.4905,Transit,CONFIRMED
6.97251,2.808,0.0916,2.01,0.179,12.2,0.0383853,78,809,0.075,88.6971,5293,0.6252,0.88,-0.01,4.4905,Transit,CANDIDATE
4.1698,2.7888,0.1357,1.04,0.09278259,12.2,0.0383853,78,809,0.075,89.001,5053,0.628461,0.802,0,4.595,Transit,CONFIRMED
4.16959,2.7888,0.1357,1.1,0.09813543,12.2,0.0383853,78,809,0.075,88.6971,5293,0.8640925,0.802,-0.01,4.4905,Transit,CONFIRMED
4.16888,2.4,0.0447,1.41,0.126,12.2,0.0383853,78,809,0.075,88.6971,5293,0.628,0.88,-0.01,4.4905,Transit,CONFIRMED
12.3389,2.76,0.1021,2.11,0.188,12.2,0.0383853,78,809,0.075,88.6971,5293,0.628,0.88,-0.01,4.4905,Transit,CANDIDATE
12.339133,2.84,0.107,2.59,0.23106432,12.2,0.0383853,78,809,0.075,88.6971,4751,0.73,0.88,-0.01,4.4905,Transit,CANDIDATE
2.89465,1.44,0.0551,1.75,0.156,12.2,0.0383853,78,809,0.075,88.6971,5293,0.702,0.88,-0.01,4.4905,Transit,CANDIDATE
3.83794,2.112,0.0315,1.51,0.135,12.2,0.0383853,78,809,0.075,88.6971,5293,0.809,0.88,-0.01,4.4905,Transit,CANDIDATE
5.24086,2.568,0.0292,1.46,0.13,12.2,0.0383853,78,809,0.075,88.6971,5293,0.809,0.88,-0.01,4.4905,Transit,CANDIDATE
