orbital_period,transit_duration,transit_depth,koi_ror,planet_radius,koi_sma,inclination,equilibrium_temp,insolation,koi_srho,stellar_temp,stellar_logg,stellar_radius,stellar_mass,disposition
7.953547,2.6312,875.4,0.026448,2.25,0.0712,89.24,696.0,55.37,3.48717,4768.0,4.536,0.779,0.759,CONFIRMED
4.14451656,2.3421,391.8,0.017441,1.48,0.0461,89.99,864.0,132.08,2.87358,4768.0,4.536,0.779,0.759,CONFIRMED
4.859386384,2.2757,6044.3,0.355227,38.33,0.0571,81.27,1114.0,364.23,0.4563,6072.0,4.47,0.988,1.05,FALSE POSITIVE
10.526294577,2.5211,9768.0,0.095143,8.24,0.088,88.69,713.0,61.16,3.85261,5386.0,4.553,0.793,0.82,CONFIRMED
4.583520948,2.7055,3812.1,0.056287,5.39,0.0535,89.81,1038.0,274.98,2.30111,5815.0,4.54,0.877,0.973,CONFIRMED
3.76181843,3.5176,510.6,0.025656,2.66,0.047,75.62,1121.0,372.62,0.06927,5653.0,4.472,0.949,0.974,CONFIRMED
8.20396958,2.9667,1024.4,0.033372,3.01,0.0735,86.43,742.0,71.5,0.65082,5015.0,4.499,0.826,0.785,CONFIRMED
14.49645186,4.016,647.5,0.033377,3.01,0.1074,84.34,613.0,33.48,0.0859,5015.0,4.499,0.826,0.785,CONFIRMED
6.54626149,2.75,655.9,0.024555,2.19,0.0668,87.46,810.0,101.78,1.35056,5251.0,4.581,0.817,0.926,CONFIRMED
12.71809866,3.0957,1149.4,0.030871,2.31,0.0934,89.17,562.0,23.6,2.98907,4702.0,4.592,0.686,0.67,CONFIRMED
36.06588163,4.3246,1563.8,0.035281,2.64,0.1871,89.77,397.0,5.88,3.78452,4702.0,4.592,0.686,0.67,CONFIRMED
4.190425659,2.8589,2877.4,0.050076,6.21,0.0535,87.52,1234.0,547.9,1.28404,6073.0,4.392,1.135,1.163,CONFIRMED
3.709870784,3.0694,2020.3,0.040686,4.35,0.0471,89.86,1151.0,415.1,1.22579,5727.0,4.463,0.978,1.013,CONFIRMED
16.3297527,6.271,1187.5,0.034822,3.75,0.1255,86.59,727.0,66.08,0.16717,5878.0,4.444,0.987,0.989,CONFIRMED
27.807566216,4.21587,25391.0,0.161479,13.84,0.1711,88.96,554.0,22.24,1.98053,5862.0,4.584,0.785,0.865,CONFIRMED
80.8723469,11.195,3604.6,0.056129,7.59,0.3577,89.4,452.0,9.88,0.37264,5510.0,4.222,1.238,0.932,CONFIRMED
3.166465862,2.9381,4357.2,0.348902,26.82,0.0371,71.8,954.0,196.31,0.12553,4968.0,4.575,0.704,0.68,FALSE POSITIVE
24.99324319,5.9409,269.6,0.015956,2.29,0.1651,88.37,712.0,60.88,0.42385,5718.0,4.181,1.317,0.961,CONFIRMED
10.35533116,3.1775,750.6,0.024674,2.47,0.0895,89.93,777.0,86.22,2.92779,5501.0,4.462,0.918,0.891,CONFIRMED
16.08518937,3.984,1442.4,0.040767,3.68,0.1173,87.21,613.0,33.43,0.41177,5239.0,4.523,0.826,0.83,CONFIRMED
235.9986399,8.2284,20715.0,0.14756,10.59,0.6534,89.76,188.0,0.29,2.14449,4245.0,4.627,0.657,0.666,CANDIDATE
7.49018305,2.7297,1123.6,0.029843,2.56,0.0703,89.95,753.0,76.06,3.3941,5103.0,4.562,0.787,0.823,CONFIRMED
36.2761238,4.7865,1572.6,0.035273,3.03,0.2012,89.97,445.0,9.29,3.09103,5103.0,4.562,0.787,0.823,CONFIRMED
17.46087931,2.2641,812.4,0.026969,2.32,0.1236,89.31,568.0,24.6,7.45729,5103.0,4.562,0.787,0.823,CONFIRMED
56.0560754,4.685,1626.0,0.036134,1.94,0.228,89.99,233.0,0.69,5.11354,3593.0,4.757,0.491,0.503,CONFIRMED
41.408316686,5.0264,22839.0,0.139516,11.38,0.2162,89.68,453.0,9.93,3.42177,5522.0,4.586,0.747,0.786,CONFIRMED
39.74893077,7.3051,15179.0,0.134949,14.21,0.2311,88.3,552.0,21.87,0.31474,6122.0,4.487,0.964,1.041,CANDIDATE
5.715425977,2.5242,908.1,0.027348,2.47,0.0611,88.81,850.0,123.03,2.71439,5237.0,4.572,0.826,0.927,CONFIRMED
49.18394185,11.3364,1646.2,0.036501,8.2,0.2829,89.94,669.0,47.4,0.31666,5626.0,3.907,2.057,1.247,CONFIRMED
20.0261412,1.611,421.2,0.025305,2.28,0.1409,88.43,559.0,23.14,2.00738,5237.0,4.572,0.826,0.927,CONFIRMED
13.61014819,2.594,5732.9,0.192842,19.02,0.1061,86.94,733.0,68.29,0.84633,5697.0,4.46,0.903,0.857,CANDIDATE
10.44331991,2.743,1159.8,0.030416,2.66,0.0857,89.55,667.0,46.94,4.32663,4947.0,4.516,0.802,0.769,FALSE POSITIVE
2.237489571,1.8119,315.8,0.015942,1.41,0.0325,89.23,1160.0,427.17,3.26761,5265.0,4.58,0.81,0.91,CONFIRMED
5.851520671,3.11058,33004.0,0.166109,14.62,0.0591,89.27,901.0,155.89,2.48066,5532.0,4.53,0.806,0.804,FALSE POSITIVE
3.167893418,2.1814,781.2,0.025513,2.62,0.0426,89.87,1221.0,526.23,2.78453,5895.0,4.503,0.94,1.026,CONFIRMED
4.311780262,2.7251,1154.0,0.030716,3.11,0.0511,89.08,1038.0,274.84,1.86883,5527.0,4.484,0.927,0.956,CONFIRMED
20.0504494,4.556,840.9,0.026569,2.69,0.1423,89.31,622.0,35.44,1.54536,5527.0,4.484,0.927,0.956,CONFIRMED
9.76734503,1.6585,569.1,0.026407,2.67,0.0881,87.68,791.0,92.46,2.17446,5527.0,4.484,0.927,0.956,CONFIRMED
119.0207044,8.1405,7430.5,0.077431,8.98,0.4582,89.96,366.0,4.25,2.31024,5453.0,4.342,1.062,0.904,CANDIDATE
190.3200468,15.284,1141.7,0.034654,7.78,0.6972,89.24,426.0,7.8,0.11866,5626.0,3.907,2.057,1.247,CONFIRMED
2.861159894,1.8832,1014.3,0.039171,4.37,0.0406,77.84,1355.0,797.1,0.22208,6126.0,4.458,1.021,1.09,FALSE POSITIVE
26.44439337,3.9783,1843.5,0.038511,3.91,0.1687,89.97,562.0,23.54,3.96328,5427.0,4.463,0.929,0.915,CONFIRMED
